product_id,product_name,brand,category,rating,reviews_count
100001,Streamlined systemic project,Collins Group,Hogar y cocina,4.9,339
100002,Upgradable disintermediate approach,Miller Group,Automóvil y moto,4.3,884
100003,Customizable logistical pricing structure,"Brown, Wade and Barrett",Hogar y cocina,4.9,575
100004,Enhanced bottom-line access,"Taylor, Smith and Crawford",Ropa,4.5,807
100005,Monitored multi-state model,"Green, Watson and Brady",Automóvil y moto,3.5,578
100006,Future-proofed upward-trending capability,Rogers Group,Libros,4.3,773
100007,Future-proofed multi-tasking architecture,Joseph-Ray,Hogar y cocina,4.3,339
100008,Compatible modular knowledgebase,"Ward, Porter and Bradley",Electrónicos,4.7,149
100009,Multi-layered cohesive extranet,Shannon Ltd,Automóvil y moto,3.9,502
100010,Up-sized bifurcated emulation,"Hicks, Williams and Roy",Belleza,5.0,792
100011,Fully-configurable 6thgeneration leverage,Reyes-Hernandez,Libros,4.9,537
100012,Automated neutral website,"Yang, Barnes and Morris",Salud y cuidado personal,4.6,234
100013,Operative uniform functionalities,Mckenzie-Duncan,Salud y cuidado personal,3.6,390
100014,Decentralized motivating service-desk,White PLC,Computadoras,4.7,112
100015,Balanced impactful architecture,Cline-Ayala,Juguetes,4.8,836
100016,Integrated fresh-thinking array,"Bryant, Wood and Carter",Hogar y cocina,3.8,44
100017,Innovative user-facing process improvement,Marshall PLC,Salud y cuidado personal,4.7,400
100018,Proactive zero administration time-frame,Oconnor PLC,Computadoras,4.1,923
100019,Virtual dynamic collaboration,Randolph Inc,Salud y cuidado personal,3.6,921
100020,Focused needs-based hardware,"Franco, Wiley and Tapia",Computadoras,3.8,937
100021,Adaptive well-modulated protocol,Sweeney-Acosta,Hogar y cocina,3.6,596
100022,Customer-focused demand-driven moderator,Barnes Inc,Ropa,4.6,723
100023,Digitized transitional focus group,Williams and Sons,Ropa,5.0,996
100024,Programmable incremental standardization,Ellis-Adkins,Belleza,4.0,771
100025,Reduced bandwidth-monitored middleware,Walsh Group,Hogar y cocina,3.5,260
100026,Compatible optimizing open system,Graham and Sons,Salud y cuidado personal,3.8,126
100027,Front-line explicit firmware,Howe-Long,Hogar y cocina,3.9,68
100028,User-centric fresh-thinking functionalities,Nelson-Jones,Hogar y cocina,4.2,647
100029,Exclusive client-driven time-frame,"Rodriguez, Garcia and Cole",Ropa,5.0,18
100030,Intuitive incremental capability,"Howard, Townsend and Hayes",Hogar y cocina,4.2,656
100031,Persistent empowering capability,Moore Ltd,Hogar y cocina,3.5,109
100032,Innovative tertiary standardization,"Williams, Huff and Murphy",Automóvil y moto,4.4,910
100033,Cross-group transitional encryption,Foster-Williams,Electrónicos,4.8,303
100034,Innovative empowering conglomeration,Crane Group,Juguetes,4.3,56
100035,Realigned value-added neural-net,Davis Inc,Salud y cuidado personal,3.7,108
100036,Devolved bottom-line access,Greer and Sons,Computadoras,3.8,286
100037,De-engineered dedicated initiative,Parks-Pace,Salud y cuidado personal,5.0,315
100038,Configurable optimal parallelism,Lowery-Jones,Libros,3.9,582
100039,Cloned dedicated project,Lamb-Davis,Deportes,4.9,259
100040,Managed bottom-line analyzer,Williams-Glass,Libros,4.0,818
100041,Optional uniform infrastructure,Johnson-Vega,Juguetes,3.6,444
100042,Enhanced heuristic data-warehouse,Hill Group,Juguetes,4.8,599
100043,Distributed 5thgeneration pricing structure,"Jensen, Holland and Porter",Belleza,3.5,743
100044,Reactive mission-critical approach,Ramirez and Sons,Hogar y cocina,4.1,947
100045,Operative dedicated project,"Wright, Mcknight and Stephens",Salud y cuidado personal,4.4,132
100046,Ameliorated homogeneous toolset,"Howard, Stephens and Washington",Libros,3.5,471
100047,Re-contextualized motivating Graphic Interface,Nelson-Johnson,Libros,4.9,775
100048,Right-sized directional algorithm,Brown-Frey,Electrónicos,4.4,498
100049,Progressive heuristic throughput,"Key, Dickson and Garcia",Automóvil y moto,4.7,629
100050,Switchable disintermediate flexibility,"Velasquez, Stark and Brown",Electrónicos,4.8,331
100051,Face-to-face object-oriented website,Kelly-Combs,Juguetes,3.5,560
100052,Enhanced context-sensitive encoding,"Stewart, Rojas and Howard",Ropa,4.4,781
100053,Reverse-engineered 4thgeneration strategy,"Bell, Bradley and Thomas",Computadoras,4.3,829
100054,Ergonomic modular moratorium,Thompson-Johnson,Deportes,3.9,455
100055,Centralized discrete portal,Smith Group,Juguetes,4.9,467
100056,Adaptive full-range pricing structure,Drake LLC,Automóvil y moto,4.7,854
100057,Universal context-sensitive website,Brown-Hernandez,Salud y cuidado personal,3.9,199
100058,Triple-buffered client-server time-frame,Mathis LLC,Electrónicos,5.0,276
100059,Compatible holistic strategy,"Foster, Garcia and Turner",Electrónicos,4.9,661
100060,Devolved cohesive superstructure,Conner-Yu,Juguetes,4.9,924
