order_id,order_date,product_id,seller_id,customer_id,units_sold,price,discount,shipping_cost,order_status,review_rating
1,2025-12-30,100913,26,102254,2,119.37,0.22,21.92,entregado,1.3
2,2025-06-08,103457,33,100245,1,117.13,0.15,5.66,pendiente,3.9
3,2025-05-05,104465,430,101806,4,298.74,0.24,5.16,pendiente,3.8
4,2026-02-07,102788,285,101274,2,479.03,0.1,7.32,pendiente,2.4
5,2025-08-10,102818,619,102167,1,367.57,0.16,29.33,enviado,1.3
6,2025-07-30,102402,850,102963,5,104.22,0.02,21.53,enviado,4.9
7,2025-07-21,101908,888,100828,4,146.21,0.19,14.12,enviado,2.4
8,2025-06-19,102188,719,100585,5,321.14,0.16,11.12,enviado,2.5
9,2026-02-06,104563,225,102657,1,122.23,0.01,12.89,enviado,1.3
10,2025-06-04,104647,898,102578,2,331.16,0.12,27.86,enviado,1.6
11,2026-01-13,101144,253,104599,5,138.74,0.18,27.45,enviado,2.4
12,2026-02-07,101134,522,104043,1,380.33,0.26,8.82,pendiente,4.2
13,2026-04-07,103459,611,100521,4,196.99,0.3,18.23,entregado,4.4
14,2025-11-23,100095,697,100939,5,377.93,0.23,13.5,enviado,2.7
15,2025-05-29,103717,4,102158,5,383.36,0.15,7.66,entregado,2.2
16,2025-12-11,104159,624,101630,2,193.22,0.05,28.84,entregado,4.7
17,2025-10-06,104907,332,104003,1,64.82,0.11,29.63,enviado,2.0
18,2025-05-08,101974,900,104648,1,51.97,0.15,6.73,entregado,4.1
19,2025-05-07,101052,676,103894,5,90.91,0.16,20.16,pendiente,4.7
20,2025-06-01,101648,731,102554,4,497.62,0.19,15.95,entregado,2.8
21,2025-07-19,102031,231,100525,3,20.31,0.17,19.71,pendiente,1.3
22,2025-07-25,100483,235,100553,1,431.22,0.02,10.95,entregado,2.9
23,2025-11-08,104418,136,104678,5,241.61,0.24,25.19,pendiente,1.4
24,2025-12-15,103532,363,103470,4,238.84,0.22,21.83,entregado,1.4
25,2025-05-06,103299,746,102780,1,131.84,0.06,16.22,enviado,1.7
26,2025-11-29,103790,256,100618,4,405.93,0.26,7.45,entregado,5.0
27,2025-07-12,100121,993,100765,2,91.49,0.15,10.34,enviado,4.6
28,2026-01-29,101349,389,100018,4,139.95,0.24,16.38,enviado,3.8
29,2026-01-03,104553,678,103987,2,103.05,0.07,6.46,entregado,3.2
30,2026-01-23,102570,59,100411,5,243.63,0.28,18.28,pendiente,4.8
31,2025-11-23,100657,872,101523,1,301.57,0.2,10.88,pendiente,4.8
32,2025-10-05,104667,253,104743,5,29.47,0.02,21.43,entregado,3.1
33,2025-07-20,102137,210,102574,2,140.15,0.04,21.14,enviado,2.3
34,2025-10-17,100595,10,103755,5,499.24,0.3,6.83,pendiente,3.0
35,2025-12-10,101086,956,102860,1,440.84,0.11,8.94,entregado,3.8
36,2025-08-12,104334,9,104544,3,466.56,0.03,26.95,enviado,1.5
37,2026-03-06,100877,761,104533,2,143.45,0.18,22.94,pendiente,3.7
38,2026-03-29,102163,518,104003,3,453.61,0.25,7.31,enviado,4.3
39,2025-04-28,100362,4,102733,2,322.19,0.08,23.53,entregado,3.8
40,2026-02-14,104595,10,100917,1,473.07,0.21,8.73,pendiente,4.3
41,2026-03-04,104772,566,101214,4,72.45,0.09,27.47,pendiente,4.6
42,2025-06-27,101721,699,102045,1,183.3,0.17,26.87,entregado,4.0
43,2026-01-22,101940,886,101332,2,441.89,0.01,23.41,enviado,4.1
44,2025-10-07,103373,822,102033,3,88.01,0.21,14.56,pendiente,4.4
45,2025-09-05,101823,205,103771,3,159.54,0.24,10.69,pendiente,3.6
46,2025-08-11,103265,337,102283,1,483.78,0.08,21.04,enviado,3.7
47,2025-06-25,104393,340,100227,1,439.75,0.08,19.51,enviado,1.2
48,2025-07-18,104888,445,102832,3,223.83,0.3,7.89,entregado,1.8
49,2026-02-16,100364,726,103573,1,264.76,0.24,22.17,entregado,3.9
50,2025-09-03,101615,373,103534,1,474.95,0.28,20.58,entregado,4.4
